id,organization,specialty,qualification,employee_id,attainment_id
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования Южно-Российский государственный технический университет (Новочеркасский политехнический институт)",Электроснабжение,Инженер,78,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Барнаульский государственный педагогический университет"",""Физика" с дополнительной специальностью "Информатика"","Учитель физики и информатики",79,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования Российский Государственный педагогический университет им. А.И.Герцена","Педагогическое образование",Бакалавр,80,3
NULL,"Кабардино-Балкарский государственный университет",Биология,"Биолог. Преподаватель",81,1
NULL,"Саратовский государственный университет им. Н.Г.Чернышевского",География,"Географ. Преподаватель географии и экономики по специальности",82,1
NULL,"Волгоградский государственный педагогический университет",География,"Учитель географии и биологии",83,1
NULL,"Кыргызский государственный национальный университет",Биология,Магистр,84,2
NULL,"Федеральное государственное автономное образовательное учреждение высшего профессионального образования "Белгородский государственный национальный исследовательский университет"",Биология,Магистр,85,2
NULL,"Красноярский государственный педагогический университет",История,"Учитель истории, Методист краеведческой работы",86,1
NULL,"Санкт-Петербургский Гуманитарный университет профсоюзов",Юриспруденция,Юрист,87,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Башкирский государственный университет"","Педагогическое образование",Бакалавр,88,3
NULL,"Образование: бакалавр — Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена"",Философия,Бакалавр,89,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Калужский государственный университет им. К.Э. Циолковского"",История,"Учитель истории",90,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Воронежский государственный педагогический университет"","Педагогическое образование",Магистр,91,2
NULL,"Санкт-Петербургское государственная академия культуры","Народное художественное творчество","Руководитель народного хора",92,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Тульский государственный университет"","Изобразительное искусство","Учитель изобразительного искусства",93,1
NULL,"Иркутский ордена Трудового Красного Знамени политехнический институт","Физико-химические исследования металлургических процессов",Инженер-металлург,94,1
NULL,"Ленинградское высшее военно-политическое училище ПВО имени Ю.В. Андропова","Военно-политическая тактическая противовоздушной обороны","Социальный педагог-психолог",95,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Алтайская государственная педагогическая академия"",Культурология,"Учитель культурологии",96,1
NULL,"Государственное образовательное учреждение высшего профессионального образования "Российский государственный педагогический университет им. А.И.Герцена"","Художественное образование",Магистр,97,2
NULL,"Уссурийский государственный педагогический институт","Русский язык и литература",Учитель,98,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им А.И. Герцена"","Педагогическое образование",Бакалавр,99,3
NULL,"Республиканское высшее учебное заведение "Крымский гуманитарный университет"","Физическая культура",Магистр,100,2
NULL,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение "Училище олимпийского резерва №2 (техникум)"","Педагог по физической культуре и спорту","Физическая культура",101,5
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф.Лесгафта, Санкт-Петербург"","Физическая культура и спорт","Специалист по физической культуре и спорту",102,1
NULL,"ГАОУ ВО Ленинградской области "Ленинградский государственный университет им. А.С. Пушкина"","Психолого-педагогическое образование",Бакалавр,103,3
NULL,"Федеральное государственное образовательное учреждение среднего профессионального образования "Волховский алюминиевый колледж"","Техническое обслуживание и ремонт автомобильного транспорта",Техник,104,5
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф.Лесгафта, Санкт-Петербург"","Физическая культура",Бакалавр,105,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура","Бакалавр физической культуры",106,3
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург"","Физическая культура",Магистр,107,2
NULL,"ГОУ ВПО "Костромской государственный университет им. Н.А. Некрасова"","Экономика труда",Экономист,108,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего образования "Российский государственный педагогический университет им. А.И. Герцена","Психолого-педагогическое образование",Бакалавр,109,1
NULL,"Государственное бюджетное профессиональное образовательное учреждение "Ленинградский областной колледж культуры и искусства"","Социально-культурная деятельность и народное художественное творчество","Руководитель творческого коллектива, преподаватель",8,5
NULL,"Луганский государственный университет им. Т.Г. Шевченко","Русский язык и литература и психология","Учитель русского языка и зарубежной литературы, практического психолога в заведениях просвещения",110,1
NULL,"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственная полярная академия"",Природопользование,Эколог-природопользователь,111,1
